"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"PCU Red 1 G04",1473,8.37,12.67,25,"OR","Portland","PTT G04 Premier Red","Spr OYS G04 Premier Red",""
"Seattle Celtic Green G04",1470,13.52,7.7,28,"WA","Seattle","PSPL WNPL U14","Spr PSPL - '04 Super 1 U14",""
"NW United Black G04",1468,9.69,10.58,33,"WA","Burlington","RCL G04 Div 2","",""
"SSC Shadow United Hall G04",1468,9.78,10.47,25,"WA","Spokane","RCL G04 Div 4","",""
"THUSC Selenium Black G04",1466,12.98,7.78,31,"OR","Tualatin Hills","PTT G04 Premier Red","Spr OYS G04 Premier Red",""
"Idaho Rush Nero G04",1464,8.39,11.85,14,"ID","Boise","Idaho D3 Div 2 U14","",""
"Washington Timbers Red 2 G04",1439,10.67,7.86,29,"WA","Vancouver","PTT G04 Premier White","Spr OYS G04 Premier White",""
"FC Salmon Creek Nemesis White G04",1431,6.86,11.58,30,"WA","Salmon Creek","PTT G04 Div 1 Red","Spr OYS G04 Premier White","OYS Presidents Cup G04"
"Bellevue United Robinson G04",1424,8.42,9,21,"WA","Bellevue","RCL G04 Div 4","",""
"MRFC Blue G04",1415,8.31,8.56,36,"WA","Bonney Lake","PSPL WSPL U14","Spr PSPL - '04 Super 1 U14",""
"NSC Green Dash G04",1409,7.92,8.57,30,"WA","Woodinvile","NPSL Div 1 (04) U14","","Founders Cup G04 Div A"
"ISC Gunners A G04",1402,8.14,7.98,30,"WA","Issaquah","PSPL WSPL U14","Spr PSPL - '04 Super 1 U14",""
"Indie Chicas Cyan G04",1398,12.14,5.21,25,"ID","Eagle","Idaho D3 Div 1 U14","",""
"CYSA Timber Barons Green G04",1389,8.11,7.33,17,"WA","Kelso","PTT G04 Premier White","",""
"NEU White G04",1389,7.61,7.79,27,"OR","Portland","PTT G04 Premier White","Spr OYS G04 Premier White",""
"CWSA Navy G04",1381,10.86,5.18,20,"WA","Yakima","PSPL WSPL U14","Spr PSPL - '04 Super 1 U14",""
"Kitsap Alliance Red G04",1366,8.22,6.17,26,"WA","Silverdale","RCL G04 Div 3","",""
"FC Nova ECNL Reserves G04",1364,7.22,6.89,13,"ID","Boise","Idaho D3 Div 1 U14","",""
"GS Surf B G04",1363,5.86,8.42,28,"WA","Bothel","RCL G04 Div 2","",""
"RSA Elite Black G04",1362,6.84,7.19,21,"WA","","PSPL WSPL U14","Spr PSPL - '04 Super 2 U14",""
"BSC Portland Black G04",1356,5.79,8.17,21,"OR","Portland","PTT G04 Premier White","Spr OYS G04 Premier White",""
"Eastside FC White G04",1342,5.38,7.98,24,"WA","Preston","RCL G04 Div 2","",""
"Three Rivers SC Black G04",1340,8.88,4.74,30,"WA","Pasco","RCL G04 Div 3","",""
"Capital FC Timbers Red G04",1337,9.99,4.13,28,"OR","Salem","PTT G04 Premier Red","Spr OYS G04 Premier White",""
"ETFC Akers Red G04",1326,7.32,5.25,31,"OR","Eugene","PTT G04 Div 1 Red","Spr OYS G04 Div 1 White","OYS Presidents Cup G04"
"FME Fusion G04",1325,4.4,8.67,27,"WA","Fife","NPSL Div 1 (04) U14","Spr NPSL (04) Div 1 U14","Founders Cup G04 Div A"
"Breakers Black Swoboda G04",1321,6.31,5.85,24,"WA","Spokane","PSPL WNPL U14","Spr PSPL - '04 Super 1 U14",""
"Seattle United W Blue G04",1311,5.63,6.11,29,"WA","Seattle","NPSL Div 1 (04) U14","Spr NPSL (04) Div 1 U14","Founders Cup G04 Div A"
"WA Rush Nero G04",1310,6.51,5.28,29,"WA","Everett","RCL G04 Div 3","",""
"WPFC Black G04",1310,4.53,7.56,34,"WA","Tacoma","RCL G04 Div 3","",""
"Crossfire Select MacDonald G04",1305,5.53,5.98,26,"WA","Redmond","NPSL Div 1 (04) U14","","Founders Cup G04 Div A"
"FC Portland Navy G04",1304,6.23,5.29,29,"OR","Portland","PTT G04 Premier White","Spr OYS G04 Premier White",""
"Westside Timbers Samba TS G04",1304,4.18,7.87,37,"OR","Beaverton","PTT G04 Div 1 White","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
