"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Emerald City FC White B04",1163,3.75,3.3,26,"WA","Seattle","PSPL Classic 1 - West U14","",""
"THUSC Chromium Black B04",1159,2.65,4.56,39,"OR","Beaverton","PTT B04 Premier White","Spr OYS B04 Premier White",""
"CSC Storm Navy B04",1158,4.48,2.68,29,"OR","Corvallis","PTT B04 Div 1 White","Spr OYS B04 Div 1 White","OYS Presidents Cup B04"
"Highline Select B04",1149,3.15,3.56,15,"WA","Burien","","","Founders Cup B04 Div A"
"STU Evolution Araujo B04",1145,4.4,2.48,16,"WA","Tacoma","SSUL B05 14 Div 2","","Founders Cup B04 Div A"
"Bellevue United Select B04",1138,3.27,3.17,15,"WA","Bellevue","NPSL DIVISION 3 (04) U14","","Founders Cup B04 Div A"
"STU Evolution Truillo B04",1131,3.8,2.61,12,"WA","Tacoma","NPSL DIVISION 1 (04) U14","",""
"NW United Red B04",1124,4.42,2.13,37,"WA","Burlington","RCL B04 Div 3","",""
"FC Nova Red B04",1124,3.88,2.43,25,"ID","Boise","Idaho D3 Div 2 U14","",""
"Nortac Colibri B04",1123,4.72,1.99,31,"WA","Tacoma","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"Foothills SC Celtic White B04",1122,4.72,1.97,27,"OR","Portland","PTT B04 Premier White","Spr OYS B04 Premier White",""
"LSDSC United Blue B04",1122,3.23,2.88,12,"OR","","NPSL DIVISION 2 (04) U14","",""
"CUSC Red B04",1118,5.03,1.8,36,"OR","Clackamas","PTT B04 Div 1 White","Spr OYS B04 Div 1 Green","OYS Presidents Cup B04"
"WPFC White B04",1117,5.17,1.74,41,"WA","Tacoma","RCL B04 Div 3","",""
"Central WA SA Navy B04",1117,4.19,2.14,27,"WA","Yakima","PSPL WSPL U14","",""
"Crossfire Yakima B B04",1116,4.34,2.06,29,"WA","Yakima","RCL B04 Div 3","",""
"Idaho Rush Nero B04",1112,4.03,2.15,24,"ID","Boise","Idaho D3 Div 1 U14","",""
"Crossfire Select Barnes B04",1112,2.86,3.04,26,"WA","Redmond","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"NEU White B04",1104,3.37,2.44,34,"OR","Portland","PTT B04 Premier White","Spr OYS B04 Premier White",""
"NPSA Titans White B04",1099,4.57,1.73,26,"WA","Bellevue","PSPL Classic 1 - West U14","",""
"Snohomish United Black B04",1098,4.16,1.9,32,"WA","Snohomish","RCL B04 Div 4","",""
"NSC Athletico B04",1098,3.46,2.28,29,"WA","Woodinvile","NPSL DIVISION 2 (04) U14","","Founders Cup B04 Div A"
"Seattle United S Blue B04",1089,4,1.85,26,"WA","Seattle","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"Dragons FC B04",1083,3.9,1.82,27,"WA","Seattle","PSPL Classic 1 - West U14","",""
"Whatcom Rangers Blue B04",1072,2.53,2.6,38,"WA","Bellingham","RCL B04 Div 3","",""
"FWFC White B04",1070,3.19,2.03,38,"WA","Federal Way","RCL B04 Div 4","",""
"Impact FC Black B04",1069,3.85,1.68,35,"WA","Renton","PSPL Classic 1 - West U14","",""
"ISC Gunners B B04",1066,4.01,1.58,36,"WA","Issaquah","PSPL Classic 2 - West U14","",""
"Boise Nationals Timbers Red B04",1065,2.56,2.45,29,"ID","Boise","Idaho D3 Div 2 U14","",""
"SESC Dragons B04",1065,3.42,1.83,35,"OR","Portland","PTT B04 Div 1 White","Spr OYS B04 Div 1 Green","OYS Presidents Cup B04"
"Kent United Green B04",1061,3.36,1.82,32,"WA","Kent","NPSL DIVISION 2 (04) U14","","Founders Cup B04 Div A"
"NC Alliance Red B04",1054,4.1,1.42,27,"WA","","PSPL Classic 1 - West U14","",""
"MVP Rapids Navy B04",1053,2.67,2.16,31,"WA","Maple Valley","PSPL WSPL U14","",""
"NW United White B04",1052,3.69,1.55,30,"WA","Burlington","NPSL DIVISION 3 (04) U14","",""
"Walla Walla United B04",1050,3.44,1.64,10,"WA","Walla Walla","PSPL Copa 1 - East U14","",""
"HSC Cosmos B04",1044,3.29,1.65,24,"OR","Hillsboro","PTT B04 Div 2 Green","Spr OYS B04 Div 1 White","OYS Founders Cup B04"
"FC Portland Navy B04",1043,2.46,2.19,36,"OR","Portland","PTT B04 Div 1 Green","Spr OYS B04 Div 1 Green","OYS Presidents Cup B04"
"North Idaho Inferno B04",1042,2.71,1.98,36,"ID","Post Falls","PSPL Classic 1 - East U14","",""
"ASE Emerald B04",1039,3.81,1.38,10,"WA","Pasco","PSPL Copa 1 - East U14","",""
"Eastside Timbers Red B04",1039,3.24,1.61,23,"OR","Gresham","PTT B04 Div 1 Green","Spr OYS B04 Div 1 Green","OYS Presidents Cup B04"
"GS Surf B B04",1031,3.08,1.61,39,"WA","Bothel","RCL B04 Div 3","",""
"Spokane Sounders B B04",1029,2.96,1.65,27,"WA","Spokane","RCL B04 Div 4","",""
"3 Rivers Green B04",1028,3.97,1.23,28,"WA","Pasco","RCL B04 Div 4","",""
"NC Alliance Navy B04",1018,3.25,1.4,29,"WA","","PSPL Classic 2 - West U14","",""
"Cascade FC Green B04",1010,4.12,1.04,29,"WA","North Bend","PSPL Classic 3 - West U14","",""
"TFA Willamette Gold B04",1010,3.09,1.39,27,"OR","","PTT B04 Div 1 White","Spr OYS B04 Div 1 White","OYS Presidents Cup B04"
"BSC Portland Black B04",1007,2.27,1.85,24,"OR","Portland","PTT B04 Div 1 White","Spr OYS B04 Div 1 White",""
"Spokane Pumas B B04",1004,3.88,1.06,20,"WA","Spokane","PSPL Classic 1 - East U14","",""
